Algorithm,Test Case,Message Size (B),Enc Mean (ms),Enc StdDev (ms),Enc 95% CI,Enc Throughput (MB/s),Dec Mean (ms),Dec StdDev (ms),Dec 95% CI,Dec Throughput (MB/s),Safety,FAR (%),Total CPU Time (ms),Ops/sec,CPU Time/Byte (us)
AES-GCM,Test 1 - 16B,16,0.059918,0.295465,±0.025899,0.2547,0.05711,0.012645,±0.001108,0.2672,PASS,0.0,0.117028,8544.96,7.31425
ChaCha20-Poly1305,Test 1 - 16B,16,0.032845,0.016155,±0.001416,0.4646,0.047125,0.02735,±0.002397,0.3238,PASS,0.0,0.07997,12504.69,4.998125
AES-GCM,Test 2 - 32B,32,0.052265,0.015286,±0.001340,0.5839,0.064361,0.018859,±0.001653,0.4742,PASS,0.0,0.116626,8574.42,3.644563
ChaCha20-Poly1305,Test 2 - 32B,32,0.023468,0.010843,±0.000950,1.3004,0.035588,0.055346,±0.004851,0.8575,PASS,0.0,0.059056,16933.08,1.8455
AES-GCM,Test 3 - 64B,64,0.046007,0.010467,±0.000918,1.3266,0.057104,0.022769,±0.001996,1.0688,PASS,0.0,0.103111,9698.29,1.611109
ChaCha20-Poly1305,Test 3 - 64B,64,0.0191,0.002546,±0.000223,3.1955,0.027593,0.002615,±0.000229,2.212,PASS,0.0,0.046693,21416.49,0.729578
AES-GCM,Test 4 - 128B,128,0.043379,0.012601,±0.001105,2.814,0.052212,0.009905,±0.000868,2.338,PASS,0.0,0.095591,10461.24,0.746805
ChaCha20-Poly1305,Test 4 - 128B,128,0.022716,0.007985,±0.000700,5.3738,0.032715,0.009144,±0.000801,3.7313,PASS,0.0,0.055431,18040.45,0.433055
AES-GCM,Test 5 - 256B,256,0.065572,0.066051,±0.005790,3.7233,0.084467,0.086135,±0.007550,2.8904,PASS,0.0,0.150039,6664.93,0.58609
ChaCha20-Poly1305,Test 5 - 256B,256,0.022118,0.00367,±0.000322,11.038,0.031932,0.00509,±0.000446,7.6456,PASS,0.0,0.05405,18501.39,0.211133
AES-GCM,Test 6 - 512B,512,0.058426,0.059552,±0.005220,8.3572,0.067627,0.022262,±0.001951,7.2202,PASS,0.0,0.126053,7933.17,0.246197
ChaCha20-Poly1305,Test 6 - 512B,512,0.026493,0.010227,±0.000896,18.4309,0.038274,0.024237,±0.002124,12.7576,PASS,0.0,0.064767,15439.96,0.126498
AES-GCM,Test 7 - 1 KB,1024,0.060028,0.024727,±0.002167,16.2685,0.073897,0.032903,±0.002884,13.2152,PASS,0.0,0.133925,7466.87,0.130786
ChaCha20-Poly1305,Test 7 - 1 KB,1024,0.025949,0.005459,±0.000478,37.6342,0.035554,0.00602,±0.000528,27.4672,PASS,0.0,0.061503,16259.37,0.060062
AES-GCM,Test 8 - 2 KB,2048,0.052581,0.014128,±0.001238,37.1452,0.06426,0.017643,±0.001547,30.3943,PASS,0.0,0.116841,8558.64,0.057051
ChaCha20-Poly1305,Test 8 - 2 KB,2048,0.044679,0.018421,±0.001615,43.7146,0.060366,0.027035,±0.002370,32.3548,PASS,0.0,0.105045,9519.73,0.051292
AES-GCM,Test 9 - 5 KB,5120,0.056077,0.016922,±0.001483,87.0737,0.068838,0.027011,±0.002368,70.9319,PASS,0.0,0.124915,8005.44,0.024397
ChaCha20-Poly1305,Test 9 - 5 KB,5120,0.047099,0.016334,±0.001432,103.6713,0.058727,0.019674,±0.001725,83.144,PASS,0.0,0.105826,9449.47,0.020669
